id,isbn13,isbn10,title,language,binding,release_date,edition,pages,dimensions,rating,publisher,author,copies
275,9780199554652,019955465X,Literature and Science in the Nineteenth Century: An Anthology,English,Paperback,2009-08-01,Reissue,624,5.00 (w) x 7.50 (h) x 1.60 (d),2.1,"Oxford University Press, USA",Laura Otis,19
276,9780982338209,982338201,"Show &amp; Tell: Writers on Writing, Sixth Edition",English,Paperback,2009-08-01,6th Edition,,,4.2,"Publishing Laboratory UNC Wilmington, The",Dept of Creative Writing,19
277,9781934633199,1934633194,Mother California: A Story of Redemption Behind Bars,English,Hardcover,2009-11-01,,208,5.20 (w) x 7.20 (h) x 0.90 (d),2.9,Atlas & Co.,Kenneth E. Hartman,8
278,9780940450677,940450674,"Richard Wright: Later Works (Black Boy, American Hunger, The Outsider)",English,Hardcover,1991-10-01,1st Edition,887,5.14 (w) x 8.16 (h) x 1.16 (d),2.9,Library of America,"Richard Wright, Arnold Rampersad",12
279,9780813529301,813529301,Double-Take: A Revisionist Harlem Renaissance Anthology,English,Paperback,2001-12-01,1st Edition,670,7.00 (w) x 10.00 (h) x 1.00 (d),2.2,Rutgers University Press,"Venetria Patton (Editor), Maureen Honey",9
280,9780673469564,673469565,Hispanic-American Literature: A Brief Introduction and Anthology,English,Paperback,1997-01-01,1st Edition,339,5.90 (w) x 8.90 (h) x 1.00 (d),3.3,Longman,"Nicolas Kanellos, Nicholas Kanellos",17
281,9780140435870,140435875,Nineteenth-Century American Poetry,English,Paperback,1996-10-01,,496,5.21 (w) x 7.79 (h) x 1.06 (d),2.2,Penguin Group (USA) Incorporated,"Various, William Spengemann",9
282,9781590304556,1590304551,The Beat Book: Writings from the Beat Generation,English,Paperback,2007-07-01,Revised,400,5.20 (w) x 8.36 (h) x 1.06 (d),2.0,"Shambhala Publications, Inc.","Anne Waldman, Allen Ginsberg",9
283,9780375413322,375413324,Beat Poets,English,Hardcover,2002-07-01,,256,4.40 (w) x 6.53 (h) x 0.77 (d),4.6,Knopf Doubleday Publishing Group,"Carmela Ciuraru (Editor), Kevin Young",9
284,9781594482823,1594482829,Brooklyn Was Mine,English,Paperback,2008-01-01,,240,5.22 (w) x 8.04 (h) x 0.61 (d),4.6,Penguin Group (USA) Incorporated,"Chris Knutsen (Editor), Valerie Steiker (Editor), Phillip Lopate (Introduction), Jennifer Egan, Darin Strauss",10
285,9781575255910,157525591X,New Playwrights: The Best Plays of 2007,English,Paperback,2008-07-01,1st Edition,416,5.30 (w) x 8.40 (h) x 0.90 (d),3.7,"Smith & Kraus, Inc.","Lawrence Harbison (Editor), David Epstein",1
286,9781416537465,1416537465,The Best American Erotic Poems: From 1800 to the Present,English,Paperback,2008-02-01,,336,5.50 (w) x 8.44 (h) x 0.90 (d),3.4,Simon & Schuster Adult Publishing Group,David Lehman,1
287,9780060923525,60923520,The Best of the West: An Anthology of Classic Writing from the American West,English,Paperback,1992-09-01,Reprint,544,5.31 (w) x 8.00 (h) x 1.22 (d),1.4,HarperCollins Publishers,Tony Hillerman,20
288,9780140296396,140296395,Atop an Underwood: Early Stories and Other Writings,English,Paperback,2000-11-01,,272,5.30 (w) x 8.06 (h) x 0.63 (d),3.5,Penguin Group (USA),"Jack Kerouac, Paul Marion (Editor), Paul Marion (Commentaries by), Paul Marion",11
289,9781579127732,1579127738,"The African American Experience: Black History and Culture Through Speeches, Letters, Editorials, Poems, Songs, and Stories",English,Paperback,2009-01-01,Reprint,720,6.90 (w) x 9.90 (h) x 1.90 (d),4.6,"Black Dog & Leventhal Publishers, Inc.",Kai Wright,1
290,9780976629641,097662964X,Best New Poets: 50 Poems from Emerging Writers,English,Paperback,2009-11-01,,158,7.00 (w) x 8.30 (h) x 0.60 (d),3.6,Samovar Press,"Kim Addonizio (Editor), Jeb Livingood",1
291,9781887366762,1887366768,Inherit the Atchafalaya,English,Hardcover,2007-07-01,,,9.20 (w) x 11.70 (h) x 0.60 (d),2.8,University of Louisiana at Lafayette Press,"Greg Guirard, C. Ray Brassieur, University of Louisiana at Lafayette, Center for Louisiana Studies Staff (Contribution by), Louisiana, Dept. of Natural Resources Staff",7
